source,target
0,4
0,12
0,18
0,25
0,30
0,46
0,55
0,58
0,59
0,74
0,76
0,77
0,85
0,86
0,87
4,0
4,3
4,12
4,14
4,17
4,24
4,25
4,27
4,30
4,46
4,55
4,58
4,59
4,64
4,79
4,84
4,88
4,89
12,11
12,13
12,17
12,30
12,32
12,46
12,55
12,57
12,59
12,64
12,74
12,84
12,89
12,91
18,0
18,2
18,9
18,14
18,28
18,42
18,46
18,50
18,54
18,55
18,57
18,59
18,68
18,79
18,85
25,4
25,17
25,18
25,24
25,27
25,30
25,32
25,48
25,53
25,54
25,55
25,57
25,58
25,61
25,64
25,71
25,74
25,75
25,77
25,80
25,87
25,89
30,3
30,4
30,11
30,17
30,21
30,32
30,47
30,70
30,72
30,88
30,89
46,0
46,4
46,9
46,11
46,12
46,17
46,18
46,20
46,24
46,25
46,26
46,28
46,30
46,32
46,36
46,38
46,50
46,54
46,64
46,70
46,76
46,77
46,80
46,87
46,89
55,4
55,5
55,9
55,13
55,14
55,18
55,25
55,27
55,53
55,59
55,61
55,68
55,79
55,88
55,90
58,0
58,4
58,6
58,15
58,25
58,30
58,35
58,46
58,54
58,55
58,59
58,60
58,64
58,74
58,76
58,81
58,82
58,84
59,0
59,4
59,8
59,10
59,13
59,14
59,18
59,24
59,25
59,27
59,36
59,37
59,54
59,55
59,58
59,60
59,61
59,71
59,74
59,76
59,77
59,79
59,86
59,87
59,88
74,0
74,11
74,12
74,14
74,17
74,18
74,24
74,25
74,26
74,27
74,28
74,33
74,37
74,48
74,58
74,59
74,64
74,65
74,68
74,72
74,77
74,79
74,81
74,85
74,86
74,89
74,91
76,0
76,2
76,9
76,12
76,21
76,23
76,26
76,27
76,35
76,46
76,50
76,55
76,59
76,66
76,68
76,77
76,85
76,87
77,0
77,4
77,5
77,7
77,10
77,24
77,25
77,27
77,36
77,37
77,42
77,46
77,51
77,54
77,59
77,63
77,80
77,85
77,87
77,88
85,0
85,2
85,9
85,12
85,17
85,36
85,42
85,43
85,51
85,53
85,54
85,63
85,65
85,72
85,73
85,74
85,77
85,79
85,87
85,91
86,0
86,2
86,4
86,17
86,24
86,36
86,37
86,46
86,54
86,55
86,59
86,60
86,61
86,71
86,73
86,74
86,77
86,79
86,85
86,87
87,0
87,2
87,4
87,9
87,10
87,14
87,24
87,25
87,33
87,46
87,50
87,53
87,54
87,55
87,58
87,59
87,61
87,65
87,70
87,71
87,76
87,77
87,79
87,82
87,84
87,85
87,88
87,90
1,11
1,15
1,17
1,20
1,21
1,30
1,39
1,51
1,52
1,66
1,72
1,80
1,89
11,0
11,1
11,5
11,7
11,13
11,17
11,20
11,24
11,26
11,35
11,40
11,51
11,52
11,65
11,68
11,72
11,74
11,75
11,89
15,3
15,8
15,9
15,13
15,17
15,20
15,22
15,23
15,24
15,25
15,28
15,32
15,33
15,36
15,39
15,46
15,58
15,60
15,66
15,68
15,73
15,79
15,80
17,1
17,7
17,12
17,13
17,16
17,18
17,22
17,23
17,26
17,30
17,32
17,33
17,45
17,46
17,48
17,54
17,58
17,61
17,66
17,72
17,73
17,74
17,75
17,80
17,81
17,83
17,89
20,1
20,3
20,8
20,11
20,13
20,15
20,17
20,23
20,38
20,40
20,51
20,66
20,72
20,74
20,78
20,89
20,91
21,1
21,2
21,7
21,11
21,12
21,32
21,39
21,40
21,47
21,66
21,68
21,72
21,73
21,80
21,90
39,1
39,7
39,15
39,17
39,21
39,23
39,32
39,40
39,47
39,89
39,91
51,1
51,8
51,11
51,15
51,17
51,20
51,22
51,23
51,29
51,47
51,54
51,72
51,73
51,78
52,1
52,5
52,8
52,11
52,17
52,27
52,33
52,35
52,43
52,51
52,57
52,66
52,70
52,72
52,74
52,79
52,82
52,83
66,1
66,5
66,11
66,15
66,21
66,23
66,24
66,25
66,26
66,28
66,32
66,38
66,40
66,45
66,47
66,54
66,57
66,64
66,72
66,74
66,80
66,82
66,89
66,91
72,3
72,8
72,17
72,21
72,32
72,35
72,38
72,41
72,44
72,53
72,54
72,66
72,87
72,91
80,1
80,5
80,7
80,15
80,17
80,20
80,21
80,23
80,25
80,26
80,30
80,32
80,38
80,39
80,40
80,46
80,51
80,54
80,66
80,72
80,77
80,79
89,1
89,4
89,5
89,11
89,12
89,17
89,18
89,20
89,23
89,38
89,39
89,46
89,47
89,64
89,68
89,72
89,74
2,9
2,18
2,24
2,36
2,37
2,42
2,64
2,68
2,73
2,77
2,85
2,90
2,91
9,0
9,10
9,14
9,15
9,18
9,24
9,25
9,54
9,55
9,59
9,61
9,64
9,65
9,73
9,79
9,81
9,85
9,86
9,87
9,88
9,89
9,90
9,91
24,2
24,4
24,9
24,11
24,14
24,17
24,25
24,26
24,27
24,36
24,37
24,46
24,53
24,55
24,57
24,59
24,64
24,68
24,74
24,77
24,86
24,87
36,2
36,20
36,23
36,42
36,50
36,59
36,79
36,88
37,2
37,4
37,7
37,16
37,18
37,24
37,25
37,46
37,54
37,59
37,61
37,71
37,77
37,88
42,2
42,5
42,9
42,12
42,17
42,18
42,36
42,53
42,54
42,58
42,74
42,79
42,85
64,2
64,4
64,6
64,9
64,12
64,13
64,14
64,17
64,21
64,24
64,25
64,30
64,32
64,33
64,37
64,40
64,46
64,50
64,54
64,58
64,61
64,63
64,66
64,68
64,73
64,74
