Rank,Country,Score
1,Finland,7.736
2,Denmark,7.521
3,Iceland,7.515
4,Sweden,7.345
5,Netherlands,7.306
6,Costa Rica,7.274
7,Norway,7.262
8,Israel,7.234
9,Luxembourg,7.122
10,Mexico,6.979
11,Australia,6.974
12,New Zealand,6.952
13,Switzerland,6.935
14,Belgium,6.91
15,Ireland,6.889
16,Lithuania,6.829
17,Austria,6.81
18,Canada,6.803
19,Slovenia,6.792
20,Czechia,6.775
21,United Arab Emirates,6.759
22,Germany,6.753
23,United Kingdom,6.728
24,United States,6.724
25,Belize,6.711
26,Poland,6.673
27,Taiwan Province of China,6.669
28,Uruguay,6.661
29,Kosovo,6.659
30,Kuwait,6.629
31,Serbia,6.606
32,Saudi Arabia,6.6
33,France,6.593
34,Singapore,6.565
35,Romania,6.563
36,Brazil,6.494
37,El Salvador,6.492
38,Spain,6.466
39,Estonia,6.417
40,Italy,6.415
41,Panama,6.407
42,Argentina,6.397
43,Kazakhstan,6.378
44,Guatemala,6.362
45,Chile,6.361
46,Viet Nam,6.352
47,Nicaragua,6.33
48,Malta,6.316
49,Thailand,6.222
50,Slovakia,6.221
51,Latvia,6.207
52,Oman,6.197
53,Uzbekistan,6.193
54,Paraguay,6.172
55,Japan,6.147
56,Bosnia and Herzegovina,6.136
57,Philippines,6.107
58,Republic of Korea,6.038
59,Bahrain,6.03
60,Portugal,6.013
61,Colombia,6.004
62,Ecuador,5.965
63,Honduras,5.964
64,Malaysia,5.955
65,Peru,5.947
66,Russian Federation,5.945
67,Cyprus,5.942
68,China,5.921
69,Hungary,5.915
70,Trinidad and Tobago,5.905
71,Montenegro,5.877
72,Croatia,5.87
73,Jamaica,5.87
74,Bolivia,5.868
75,Kyrgyzstan,5.858
76,Dominican Republic,5.846
77,Mongolia,5.833
78,Mauritius,5.832
79,Libya,5.82
80,Republic of Moldova,5.819
81,Greece,5.776
82,Venezuela,5.683
83,Indonesia,5.617
84,Algeria,5.571
85,Bulgaria,5.554
86,North Macedonia,5.503
87,Armenia,5.494
88,Hong Kong SAR of China,5.491
89,Albania,5.411
90,Tajikistan,5.411
91,Georgia,5.4
92,Nepal,5.311
93,Lao PDR,5.301
94,Türkiye,5.262
95,South Africa,5.213
96,Mozambique,5.19
97,Gabon,5.12
98,Côte d’Ivoire,5.102
99,Iran,5.093
100,Congo,5.03
101,Iraq,4.976
102,Guinea,4.929
103,Namibia,4.911
104,Cameroon,4.887
105,Nigeria,4.885
106,Azerbaijan,4.875
107,Senegal,4.856
108,State of Palestine,4.78
109,Pakistan,4.768
110,Niger,4.725
111,Ukraine,4.68
112,Morocco,4.622
113,Tunisia,4.552
114,Mauritania,4.542
115,Kenya,4.51
116,Uganda,4.461
117,Gambia,4.423
118,India,4.389
119,Chad,4.384
120,Burkina Faso,4.383
121,Benin,4.357
122,Somalia,4.347
123,Mali,4.345
124,Cambodia,4.341
125,Ghana,4.34
126,Myanmar,4.321
127,Togo,4.315
128,Jordan,4.31
129,Liberia,4.277
130,Madagascar,4.157
131,Zambia,3.912
132,Ethiopia,3.898
133,Sri Lanka,3.891
134,Bangladesh,3.851
135,Egypt,3.817
136,Tanzania,3.8
137,Eswatini,3.774
138,Lesotho,3.757
139,Comoros,3.754
140,Yemen,3.561
141,DR Congo,3.469
142,Botswana,3.438
143,Zimbabwe,3.396
144,Malawi,3.26
145,Lebanon,3.188
146,Sierra Leone,2.998
147,Afghanistan,1.364
