UBIGEO,DEPARTAMENTO,NOMBPROV,POBLACION,POBREZA_INF,POBREZA_SUP,POBREZA_MID
061200,CAJAMARCA,SAN PABLO,22638,61.97,72.64,67.31
190200,PASCO,DANIEL ALCIDES CARRIÓN,46179,54.48,66.07,60.28
060400,CAJAMARCA,CHOTA,151714,55.12,61.11,58.11
060300,CAJAMARCA,CELENDÍN,83916,54.56,61.32,57.94
060600,CAJAMARCA,CUTERVO,123948,53.77,61.24,57.5
061000,CAJAMARCA,SAN MARCOS,51678,53.16,61.25,57.21
010400,AMAZONAS,CONDORCANQUI,51344,51.18,62.48,56.83
200200,PIURA,AYABACA,127737,50.71,60.64,55.68
021500,ÁNCASH,PALLASCA,24371,48.77,59.12,53.94
061300,CAJAMARCA,SANTA CRUZ,38602,49.59,56.92,53.25
100400,HUÁNUCO,HUACAYBAMBA,16372,44.75,61.65,53.2
061100,CAJAMARCA,SAN MIGUEL,47114,49.8,56.41,53.11
051000,AYACUCHO,VICTOR FAJARDO,19866,46.37,59.67,53.02
130300,LA LIBERTAD,BOLÍVAR,15982,48.38,57.15,52.76
060200,CAJAMARCA,CAJABAMBA,83167,48.25,56.94,52.59
060900,CAJAMARCA,SAN IGNACIO,145770,48.24,55.69,51.97
060700,CAJAMARCA,HUALGAYOC,83913,44.29,59.59,51.94
021300,ÁNCASH,MARISCAL LUZURIAGA,21787,45.69,58.15,51.92
130500,LA LIBERTAD,JULCÁN,30987,46.7,57.13,51.91
021900,ÁNCASH,SIHUAS,28630,46.21,55.66,50.93
080500,CUSCO,CANAS,34754,43.38,56.0,49.69
210300,PUNO,CARABAYA,78873,43.9,54.72,49.31
200300,PIURA,HUANCABAMBA,118533,43.14,55.35,49.24
130900,LA LIBERTAD,SÁNCHEZ CARRIÓN,168670,44.4,54.0,49.2
050200,AYACUCHO,CANGALLO,32482,42.71,54.77,48.74
210400,PUNO,CHUCUITO,88112,42.62,54.53,48.58
010500,AMAZONAS,LUYA,47827,44.96,51.34,48.15
080700,CUSCO,CHUMBIVILCAS,70143,41.78,54.5,48.14
130800,LA LIBERTAD,PATAZ,85092,43.88,52.14,48.01
210900,PUNO,MOHO,19190,40.43,55.44,47.93
160500,LORETO,REQUENA,64459,43.64,51.77,47.7
210700,PUNO,LAMPA,42549,41.23,53.97,47.6
